SMILES	GABAAalpha	NMDA	O00222	O15303	P41594	Q13255	Q14416	Q14643	Q14831	Q14832	Q14833
C(#Cc1csc(NCc2ccccc2)n1)c1cccnc1					5.0						
C(#Cc1cscn1)c1ccccc1					7.01						
C(#Cc1nc2c(cc1)NCCO2)c1ccccc1					4.6						
C(#Cc1nc2c(cccc2)cc1)c1ncccc1					6.03						
C(#Cc1ncccc1)C1=CC(N2CCOCC2)CCC1					6.79						
C(#Cc1ncccc1)C1=CC(Nc2cnccc2)CCC1					8.07						
C(#Cc1ncccc1)C1=CC(Oc2ccncc2)CCC1					7.8						
C(#Cc1ncccc1)C1=CC(Oc2cnccc2)CCC1					8.66						
C(#Cc1ncccc1)C1=CC(Sc2cc3c(cccc3)cc2)CCC1					6.671						
C(#Cc1ncccc1)C1=CC(Sc2ccncc2)CCC1					7.66						
C(#Cc1ncccc1)C1=CCC(NC2CCCC2)CC1					6.01						
C(#Cc1ncccc1)C1=CCC(Nc2cnccc2)CC1					7.9						
C(#Cc1ncccc1)C1=CCCC1					8.51						
C(#Cc1ncccc1)C1=CCCCC1					8.62						
C(#Cc1ncccc1)C1=CCNCC1					6.24						
C(#Cc1nccs1)c1ccccc1					7.09						
C(=Cc1nc(-c2ccccc2)ncc1)c1ccccc1											4.523
C=C(C)C1CCC2C3CCC4CC(OS(=O)(=O)O)CCC4(C)C3CCC12C.c1ccncc1		6.3									
C=C(C)C1CNC(C(=O)O)C1CC(=O)O				3.524	4.47						
C=C(C)CNc1c2c(ncc1)sc1c2ncn(-c2ccc(Br)cc2)c1=O					5.523	7.37					
C=C(C)CNc1c2c(ncc1)sc1c2ncn(-c2ccc(C)cc2)c1=O					5.523	7.79					
C=C(C)CNc1c2c(ncc1)sc1c2ncn(-c2ccc(Cl)cc2)c1=O					5.523	7.973					
C=C(C)CNc1c2c(ncc1)sc1c2ncn(-c2ccc(OC)c(F)c2)c1=O					5.523	6.99					
C=C(C)CNc1c2c(ncc1)sc1c2ncn(-c2ccc(OC)cc2)c1=O					5.523	7.982					
C=C(C)CNc1c2c(ncc1)sc1c2ncn(-c2ccc3OCCOc3c2)c1=O					5.523	6.71					
C=C(C)CNc1c2c(ncc1)sc1c2ncn(-c2ccc3OCOc3c2)c1=O					5.523	6.62					
C=C(C)CNc1c2c(ncn1)sc1c2ncn(-c2ccc(Br)cc2)c1=O					5.523	7.84					
C=C(C)CNc1c2c(ncn1)sc1c2ncn(-c2ccc(C)cc2)c1=O					5.523	7.91					
C=C(C)CNc1c2c(ncn1)sc1c2ncn(-c2ccc(Cl)cc2)c1=O					5.523						
C=C(C)CNc1c2c(ncn1)sc1c2ncn(-c2ccc(F)cc2)c1=O					5.523	7.97					
C=C(C)CNc1c2c(ncn1)sc1c2ncn(-c2ccc(OC)c(F)c2)c1=O					5.523	7.141					
C=C(C)CNc1c2c(ncn1)sc1c2ncn(-c2ccc(OC)cc2)c1=O					5.523	8.02					
C=C(C)CNc1c2c(ncn1)sc1c2ncn(-c2ccc3OCCOc3c2)c1=O					5.523	7.481					
C=C(C)CNc1c2c(ncn1)sc1c2ncn(-c2ccc3ncsc3c2)c1=O					5.523	7.77					
C=C(C)CNc1c2c(ncn1)sc1c2ncn(-c2ccc3sccc3c2)c1=O					5.523	8.05					
C=C(C)CNc1c2c(ncn1)sc1c2ncn(-c2ccc3scnc3c2)c1=O					5.523	7.8					
C=C(C)CNc1c2c(ncn1)sc1c2ncn(-c2cccc(Cl)c2)c1=O					5.523	7.28					
C=C(C)CNc1c2c(ncn1)sc1c2ncn(-c2ccccc2)c1=O					5.523	8.34					
C=C(C)CNc1c2c(ncn1)sc1c2ncn(-c2ccncc2)c1=O					5.523	6.02					
C=C(C)CNc1ncnc2c1c1c(s2)c(=O)n(-c2ccc(Cl)cc2)cn1						8.112					
C=C(C)c1c(C)sc2nc(CN(CC)c3ccc(F)cc3)cc(=O)n12		7.22									
C=C(C)c1c2CCN3C(=O)CN=C(n4cnc(C(C)OC)c4)C=C3c2ccc1					7.685	5.58					
C=C(C)c1c2CCN3C(=O)CN=C(n4cnc(COC)c4)C=C3c2ccc1					7.85	6.31					
C=C(CC(N)C(=O)O)C(=O)O						6.82	6.64				
C=C(CN1CCC(Cc2ccccc2)CC1)C(=O)c1ccc(OC)cc1		4.1066666666666665									
C=C(c1ccccc1)c1ccc(N(Cc2cnccc2)S(=O)(=O)CC)cc1							6.11				
C=C(c1ccccc1)c1cccc(N(Cc2cnccc2)S(=O)(=O)CC)c1							6.7				
C=C1CC(N)(C(=O)O)C2C1C2C(=O)O			5.8	6.572			8.89			7.81	
C=C1CC2C3CCC4CC(OS(=O)(=O)O)CCC4(C)C3CCC2(C)C1.c1ccncc1		5.66									
C=C1CC2COC(=O)C2(Cc2cc3c(cccc3)cc2)C1						6.8					
C=C1CCC2C3CCC4CC(OS(=O)(=O)O)CCC4(C)C3CCC12C.c1ccncc1		5.8									
C=C=Cc1cc2c(cc1)-n1cnc(C(=O)OCC)c1CN(C)C2=O	8.2528										
C=CC1CN(CCCCc2ccccc2)CCc2c1cc(O)cc2		6.8									
C=CC1CN(CCCCc2ccccc2)CCc2c1cc(OC)cc2		6.33									
C=CCC(NC(=O)c1nccs1)c1cc(Cl)c(Nc2ccc(C)nc2)nc1					8.62						
C=CCC1(c2cccc(C3(C(F)(F)F)N=N3)c2)C(=O)NC(=O)N(C)C1=O	5.42										
C=CCN(C)c1c2c(ncc1)sc1c2ncn(-c2ccc(Br)cc2)c1=O					5.523	7.18					
